scenario,packetLoss,maxSpeed,repetition,warningTime,collisionTime,predictedTurn
WaveDelay,0.0,14.3,6,22.401788345116,24.7,1
WaveDelay,0.0,14.3,7,22.452046503487,24.7,1
WaveDelay,0.0,14.3,8,22.40681946878,24.7,1
WaveDelay,0.0,14.3,9,22.49120400943,24.7,1
WaveDelay,0.0,14.6,0,22.25240439171,24.5,1
WaveDelay,0.0,14.6,1,22.204005162013,24.5,1
WaveDelay,0.0,14.6,10,22.242147314739,24.5,1
WaveDelay,0.0,14.6,11,22.243342088152,24.5,1
WaveDelay,0.0,14.6,12,22.215600045236,24.5,1
WaveDelay,0.0,14.6,13,22.254925264374,24.5,1
WaveDelay,0.0,14.6,14,22.299750636322,24.5,1
WaveDelay,0.0,14.6,15,22.200428919734,24.5,1
WaveDelay,0.0,14.6,16,22.2296140086,24.5,1
WaveDelay,0.0,14.6,17,22.292353485478,24.5,1
WaveDelay,0.0,14.6,18,22.295564473007,24.5,1
WaveDelay,0.0,14.6,19,22.292769471374,24.5,1
WaveDelay,0.0,14.6,2,22.270357500299,24.5,1
WaveDelay,0.0,14.6,20,22.214457197807,24.5,1
